date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:02:41	25344/25344	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/about/badge.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/about/badge.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:42	1096/1096	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/campus/1.svg	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/campus/1.svg	(from https://reactheme.com/products/html/echooling/index.html)
19:02:42	1234/1234	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/campus/2.svg	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/campus/2.svg	(from https://reactheme.com/products/html/echooling/index.html)
19:02:42	1767/1767	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/campus/3.svg	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/campus/3.svg	(from https://reactheme.com/products/html/echooling/index.html)
19:02:43	2313/2313	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/campus/shape.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/campus/shape.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:43	733052/733052	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/about/ab.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/about/ab.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:45	447277/447277	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/campus/4.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/campus/4.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:45	361569/361569	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/course/1.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/course/1.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:45	383561/383561	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/course/3.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/course/3.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:45	439462/439462	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/course/2.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/course/2.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:45	109983/109983	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/testimonial/testimonial.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/testimonial/testimonial.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:46	1173/1173	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/testimonial/coma.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/testimonial/coma.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:46	453902/453902	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/course/4.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/course/4.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:47	2761/2761	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/images/footer-logo.png	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/images/footer-logo.png	(from https://reactheme.com/products/html/echooling/index.html)
19:02:47	89501/89501	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/js/jquery.min.js	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/js/jquery.min.js	(from https://reactheme.com/products/html/echooling/index.html)
19:02:48	15514/15514	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Jan%202022%2007:40:28%20GMT	https://reactheme.com/products/html/echooling/assets/js/modernizr-2.8.3.min.js	C:/My%20Web%20Sites/Aryatech/reactheme.com/products/html/echooling/assets/js/modernizr-2.8.3.min.js	(from https://reactheme.com/products/html/echooling/index.html)
